,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
73,Puerto Ayora,20,EC,1559845390,61,-0.74,-90.35,82.4,19.46
74,Lima,90,PE,1559845100,82,-12.06,-77.04,66.2,6.93
75,Mataura,98,NZ,1559845393,78,-46.19,168.86,44.87,9.24
76,Ligayan,48,PH,1559845394,72,4.65,119.47,85.73,7.76
77,Geraldton,40,CA,1559845395,46,49.72,-86.95,71.6,10.29
78,El Retorno,7,CO,1559845396,76,2.33,-72.63,81.41,6.44
79,Marienburg,0,DE,1559845397,67,52.12,9.98,64.0,5.82
80,Foshan,20,CN,1559845399,88,23.02,113.11,84.0,2.24
81,Vasvar,0,HU,1559845400,78,47.05,16.8,73.4,5.82
82,Alvaraes,40,BR,1559845401,79,-3.22,-64.8,84.2,4.7
83,Lebu,75,ET,1559845402,77,8.96,38.73,62.6,6.93
84,Beyneu,54,KZ,1559845403,30,45.32,55.19,80.87,5.37
85,Hilo,20,US,1559845269,88,19.71,-155.08,77.0,3.36
86,Teya,40,MX,1559845406,44,21.05,-89.07,99.0,11.41
87,Hithadhoo,100,MV,1559845407,78,-0.6,73.08,82.67,13.13
88,Besikduzu,75,TR,1559845408,88,41.05,39.23,73.4,3.49
89,Ponta do Sol,0,BR,1559845409,58,-20.63,-46.0,68.81,6.4
90,Tuatapere,92,NZ,1559845411,72,-46.13,167.69,48.11,27.07
91,Ribeira Grande,40,PT,1559845412,64,38.52,-28.7,71.6,9.17
92,Skodje,0,NO,1559845413,82,62.5,6.7,69.01,14.99
93,Conceicao do Araguaia,7,BR,1559845414,37,-8.26,-49.26,90.59,6.33
94,Alta Floresta,40,BR,1559845415,46,-9.87,-56.08,93.2,8.05
95,Makakilo City,75,US,1559845417,88,21.35,-158.09,77.0,9.17
96,Hermanus,29,ZA,1559845418,66,-34.42,19.24,51.01,3.0
97,Vaini,100,IN,1559845419,82,15.34,74.49,83.03,3.71
98,Zlitan,0,LY,1559845420,33,32.47,14.57,85.91,18.9
99,Daru,88,SL,1559845421,91,7.99,-10.85,78.71,3.65
100,Isla Mujeres,40,MX,1559845423,59,21.23,-86.73,89.6,18.34
101,Provideniya,100,RU,1559845424,91,64.42,-173.23,40.19,3.71
102,Purpe,0,RU,1559845425,60,64.48,76.69,54.0,14.81
103,Norman Wells,75,CA,1559845426,52,65.28,-126.83,46.4,16.11
104,Katsuura,75,JP,1559845427,88,33.93,134.5,73.99,18.34
105,Magadan,58,RU,1559845429,80,59.56,150.8,44.33,12.64
106,Bandarbeyla,96,SO,1559845430,59,9.49,50.81,85.73,16.35
107,Saskylakh,61,RU,1559845431,49,71.97,114.09,46.85,7.38
108,Biak,100,ID,1559845432,99,-0.91,122.88,65.93,3.11
109,Saldanha,100,PT,1559845433,85,41.42,-6.55,53.87,16.78
110,Jamestown,0,AU,1559845393,76,-33.21,138.6,45.95,8.93
111,Tasiilaq,20,GL,1559845436,55,65.61,-37.64,39.2,9.17
112,Vila Velha,20,BR,1559845437,62,-3.71,-38.6,86.0,9.17
113,Taksimo,95,RU,1559845438,65,56.36,114.84,49.01,3.47
114,Miri,100,NG,1559845439,56,10.31,9.75,85.55,8.9
115,Tuktoyaktuk,75,CA,1559845441,50,69.44,-133.03,55.4,12.75
116,Husavik,27,CA,1559845442,31,50.56,-96.99,75.99,7.0
117,Constitucion,20,MX,1559845443,23,23.99,-104.67,78.01,3.36
118,Wittlich,20,DE,1559845444,71,49.98,6.89,63.0,4.7
119,Berlevag,75,NO,1559845446,93,70.86,29.09,42.8,24.16
120,Izhma,88,RU,1559845286,77,65.01,53.91,47.57,5.44
121,Waipawa,73,NZ,1559845448,85,-39.94,176.59,46.99,5.01
122,Yagodnoye,67,RU,1559845449,76,62.52,149.63,46.67,5.61
123,Vao,1,EE,1559845450,66,59.1,26.19,70.79,6.15
124,Bathsheba,20,BB,1559845451,62,13.22,-59.52,87.8,17.22
125,Ostrovnoy,90,RU,1559845453,72,68.05,39.51,53.87,22.35
126,Severo-Kurilsk,99,RU,1559845454,96,50.68,156.12,40.55,9.4
127,Sorland,90,NO,1559845455,100,67.67,12.69,50.0,5.82
128,Narsaq,75,GL,1559845456,32,60.91,-46.05,53.6,27.51
129,Ust-Omchug,44,RU,1559845457,90,61.13,149.63,45.41,7.0
130,Zemio,98,CF,1559845459,63,5.02,25.13,77.81,1.54
131,Taltal,92,CL,1559845460,61,-25.41,-70.49,66.65,9.22
132,Sonoita,1,US,1559845461,16,31.68,-110.66,93.0,8.05
133,Kapaa,75,US,1559845462,78,22.08,-159.32,80.01,19.46
134,Adrar,0,DZ,1559845463,3,27.87,-0.29,105.8,10.29
135,Yarensk,68,RU,1559845465,58,62.17,49.09,52.07,3.69
136,Atar,0,MR,1559845466,10,20.52,-13.05,104.0,6.93
137,Majene,76,ID,1559845467,78,-3.54,118.97,83.21,16.53
138,Aykhal,40,RU,1559845468,58,65.95,111.51,55.4,4.47
139,Svetlogorsk,40,RU,1559845469,76,53.14,59.15,53.6,11.18
140,Moose Factory,90,CA,1559845471,32,51.26,-80.61,68.0,13.87
141,Cortez,1,US,1559845207,38,37.35,-108.58,75.0,3.36
142,Alexandria,90,US,1559845445,78,31.31,-92.44,82.0,3.36
143,Olinda,40,EC,1559845474,66,-2.03,-79.75,86.0,4.7
144,Port Elizabeth,75,US,1559845475,58,39.31,-74.98,88.0,8.05
145,Kenitra,20,MA,1559845477,63,34.26,-6.57,66.2,14.99
146,Portland,75,US,1559845228,58,45.52,-122.67,62.01,3.78
147,The Valley,20,AI,1559845479,70,18.22,-63.06,87.8,11.41
148,Jablah,0,SY,1559845480,47,35.36,35.93,77.0,3.36
149,Rudnyy,40,KZ,1559845481,76,52.96,63.12,57.2,4.47
150,Kibala,100,TD,1559845483,52,9.11,18.35,86.63,2.48
151,Baykit,24,RU,1559845484,79,61.68,96.39,49.37,3.18
152,Khilok,96,RU,1559845485,95,51.36,110.46,41.09,3.29
153,Pascagoula,90,US,1559845351,100,30.37,-88.56,80.6,9.17
154,Oistins,20,BB,1559845487,62,13.07,-59.53,87.8,17.22
155,Bad Worishofen,75,DE,1559845489,93,48.02,10.6,55.99,5.82
156,Chisec,52,GT,1559845490,39,15.81,-90.29,99.77,2.39
157,Lokot,0,RU,1559845491,83,52.57,34.57,65.21,5.77
158,Avarua,87,CK,1559845211,83,-21.21,-159.78,73.4,4.7
159,Tulum,40,MX,1559845493,62,20.21,-87.46,91.0,11.41
160,Mount Isa,0,AU,1559845495,43,-20.73,139.49,51.8,5.82
161,Okhotsk,51,RU,1559845496,90,59.36,143.24,41.81,9.84
162,Lagoa,20,PT,1559845497,68,37.14,-8.45,66.99,19.46
163,Longyearbyen,75,NO,1559845498,80,78.22,15.63,35.6,24.16
164,Key West,1,US,1559845500,39,47.93,-96.78,82.0,9.17
165,Guerrero Negro,73,MX,1559845501,87,27.97,-114.04,63.41,8.59
166,Kaeo,97,NZ,1559845502,95,-35.1,173.78,51.01,15.21
167,Mwanza,20,TZ,1559845503,73,-2.52,32.9,77.0,0.83
168,Hagere Hiywet,98,ET,1559845504,89,8.98,37.85,57.83,2.35
169,Kabale,100,UG,1559845506,99,-1.26,29.99,53.51,1.79
170,Aquiraz,20,BR,1559845507,62,-3.9,-38.39,86.0,9.17
171,Inhambane,0,MZ,1559845508,83,-23.87,35.38,73.4,6.93
172,Kahului,40,US,1559845509,83,20.89,-156.47,77.0,4.7
173,Iqaluit,75,CA,1559845511,86,63.75,-68.52,39.2,6.93
174,Sur,0,OM,1559845512,45,22.57,59.53,93.65,11.34
175,Sept-Iles,75,CA,1559845513,54,50.2,-66.38,57.2,16.11
176,Hovd,40,NO,1559845514,57,63.83,10.7,75.2,5.82
177,San Quintin,99,PH,1559845516,83,17.54,120.52,79.61,2.71
178,Merrill,90,US,1559845517,71,42.03,-121.6,57.0,4.7
179,Belaya Gora,0,RU,1559845518,44,68.54,146.19,44.15,3.6
180,Atikokan,61,CA,1559845519,40,48.76,-91.62,78.89,3.74
181,Huarmey,92,PE,1559845520,91,-10.07,-78.15,62.69,15.48
182,Pangnirtung,90,CA,1559845522,65,66.15,-65.72,44.6,20.8
183,Igarka,68,RU,1559845523,98,67.47,86.57,42.17,10.89
184,Quijingue,95,BR,1559845524,81,-10.75,-39.21,72.05,13.62
185,Rio Gallegos,0,AR,1559845525,75,-51.62,-69.22,41.0,6.93
186,Kizema,6,RU,1559845262,61,61.11,44.83,55.49,2.93
187,Cherskiy,86,RU,1559845527,50,68.75,161.3,40.19,6.85
188,Saint-Francois,0,FR,1559845529,48,46.42,3.91,66.2,10.29
189,Tromso,40,NO,1559845530,81,69.65,18.96,60.8,10.29
190,Lancaster,1,US,1559845383,61,40.04,-76.31,84.2,8.05
191,Pangai,40,TO,1559845532,94,-19.8,-174.35,71.6,8.01
192,Anadyr,0,RU,1559845533,70,64.73,177.51,46.4,8.95
193,Khatanga,60,RU,1559845535,50,71.98,102.47,56.75,8.34
194,Shelburne,20,CA,1559845259,46,44.08,-80.2,75.0,6.93
195,Bolpur,20,IN,1559845537,88,23.66,87.7,84.0,3.36
196,Samfya,9,ZM,1559845538,59,-11.37,29.56,64.49,4.65
197,Galway,20,IE,1559845360,62,53.27,-9.05,55.4,12.75
198,Pisco,0,PE,1559845540,30,-13.71,-76.2,71.6,14.99
199,Samana,75,EC,1559845542,88,0.12,-76.97,80.6,2.24
200,Puerto Leguizamo,37,CO,1559845543,92,-0.19,-74.78,77.99,3.76
201,Airai,38,TL,1559845544,77,-8.93,125.41,71.51,8.9
202,Morant Bay,20,JM,1559845545,62,17.88,-76.41,87.8,23.04
203,Souillac,0,FR,1559845546,52,45.6,-0.6,70.0,10.29
204,El Real de Santa Maria,100,PA,1559845548,78,8.11,-77.73,83.75,3.27
205,Port Lincoln,0,AU,1559845549,64,-34.72,135.86,58.01,13.49
206,Vydrino,0,RU,1559845550,39,51.46,104.64,44.01,8.01
207,Port-de-Bouc,0,FR,1559845551,37,43.4,4.98,71.6,11.41
208,Bonfim,20,BR,1559845553,46,-20.33,-44.24,73.4,8.05
209,Saint-Philippe,1,CA,1559845554,40,45.36,-73.48,73.99,5.82
210,Barguzin,93,RU,1559845555,90,53.62,109.63,39.65,1.16
211,Miles City,1,US,1559845556,42,46.41,-105.84,84.0,17.22
212,Tautira,75,PF,1559845558,69,-17.73,-149.15,80.6,3.36
213,Ojinaga,1,US,1559845559,25,29.56,-104.41,90.0,3.36
214,Sipoo,0,FI,1559845560,44,60.38,25.27,80.01,10.29
215,Trinidad,75,UY,1559845561,53,-33.52,-56.9,71.6,13.87
216,Falun,0,SE,1559845562,41,60.61,15.63,80.01,14.99
217,Nizwa,100,OM,1559845564,16,22.93,57.53,94.91,3.98
218,Santiago,75,CL,1559845269,58,-33.44,-70.65,68.0,11.41
219,Ancud,40,CL,1559845328,87,-41.87,-73.83,48.2,5.82
220,Gorontalo,79,ID,1559845567,87,0.54,123.06,77.81,3.91
221,Luderitz,0,NA,1559845569,72,-26.65,15.16,59.0,14.99
222,Georgetown,40,GY,1559845570,74,6.8,-58.16,87.8,16.11
223,Delmiro Gouveia,75,BR,1559845571,62,-9.39,-38.0,84.2,6.93
224,Margate,0,AU,1559845572,62,-43.03,147.26,52.0,17.22
225,Pescara,0,IT,1559845554,83,42.46,14.21,77.0,4.7
226,Dauriya,94,RU,1559845575,62,49.93,116.85,54.77,11.05
227,Smithers,90,CA,1559845576,93,54.78,-127.17,44.6,6.93
228,Itarema,39,BR,1559845577,68,-2.92,-39.92,85.37,9.22
229,San Cristobal,75,EC,1559845411,50,-0.39,-78.55,69.8,13.87
230,Hasaki,75,JP,1559845580,100,35.73,140.83,68.0,4.7
231,Biltine,96,TD,1559845581,43,14.53,20.93,90.77,8.93
232,Comodoro Rivadavia,20,AR,1559845582,47,-45.87,-67.48,55.4,20.8
233,Shihezi,95,CN,1559845583,27,44.3,86.03,81.41,7.67
234,Hailar,51,CN,1559845584,67,49.2,119.7,56.93,14.47
235,Ternate,40,PH,1559845586,79,14.29,120.72,84.99,6.93
236,Collie,100,AU,1559845587,61,-33.36,116.15,54.0,14.45
237,Negara,77,ID,1559845588,85,-8.36,114.62,78.71,6.13
238,Saint-Pierre,0,FR,1559845590,52,48.95,4.24,64.99,8.05
239,Kathmandu,90,NP,1559845498,94,27.71,85.32,71.6,3.85
240,Imeni Poliny Osipenko,0,RU,1559845592,94,52.42,136.49,48.47,2.73
241,Payakumbuh,100,ID,1559845593,97,-0.23,100.63,68.27,2.26
242,Namatanai,75,PG,1559845594,89,-3.66,152.44,78.17,8.41
243,Labuhan,50,ID,1559845596,95,-2.54,115.51,74.03,2.26
244,Shache,100,CN,1559845597,57,38.42,77.24,86.0,16.82
245,Mizdah,25,LY,1559845598,15,31.45,12.98,92.39,11.48
246,Harindanga,40,IN,1559845599,94,22.04,88.32,80.6,3.36
247,Fairbanks,40,US,1559845535,67,64.84,-147.72,62.01,2.64
248,Presidente Medici,2,BR,1559845491,58,-11.18,-61.9,86.27,3.11
249,Hofn,0,IS,1559845603,40,64.25,-15.21,51.8,23.04
250,Gimli,9,CA,1559845604,31,50.63,-96.99,75.99,7.0
251,Coahuayana,100,MX,1559845605,57,18.62,-100.35,84.29,1.9
252,Poum,20,MK,1559845606,52,41.28,20.71,69.8,5.82
253,Gambela,100,ET,1559845607,89,8.25,34.59,68.81,2.42
254,Aleksin,0,RU,1559845609,56,54.5,37.07,69.8,2.19
255,Rio Grande,0,BR,1559845352,60,-32.03,-52.1,73.4,11.41
256,San Felipe,100,CL,1559845611,91,-32.75,-70.73,64.0,9.89
257,Moindou,90,NC,1559845613,82,-21.69,165.68,66.2,2.24
258,Kodiak,1,US,1559845614,27,39.95,-94.76,86.0,9.17
259,Porto Novo,40,BR,1559845615,53,-23.68,-45.44,71.6,8.05
260,North Las Vegas,1,US,1559845616,12,36.2,-115.11,98.6,17.22
261,Matadi,27,CD,1559845437,73,-5.83,13.46,76.01,9.1
262,Leningradskiy,64,RU,1559845618,87,69.38,178.42,39.11,9.15
263,Seddon,35,NZ,1559845620,84,-41.67,174.07,39.0,14.45
264,Bafq,0,IR,1559845621,16,31.6,55.4,81.23,8.84
265,Alice Springs,0,AU,1559845622,51,-23.7,133.88,37.4,6.93
266,Nyurba,60,RU,1559845623,63,63.29,118.35,52.43,3.53
267,Nuuk,90,GL,1559845625,87,64.17,-51.74,46.4,6.93
268,Bayir,0,TR,1559845626,73,37.27,28.22,72.0,9.17
269,Osuna,0,ES,1559845627,37,37.24,-5.1,73.99,16.11
270,Imbituba,75,BR,1559845628,77,-28.24,-48.67,69.8,13.87
271,Los Llanos de Aridane,75,ES,1559845630,64,28.66,-17.92,69.8,13.87
272,Lakeside,5,US,1559845454,60,32.86,-116.92,79.0,5.82
273,Brandon,1,US,1559845632,25,43.59,-96.57,86.0,3.47
274,Ankpa,100,NG,1559845633,78,7.37,7.63,79.97,7.43
275,Ketchikan,1,US,1559845508,62,55.34,-131.65,57.2,9.17
276,Clyde River,20,CA,1559845636,69,70.47,-68.59,39.2,11.41
277,Whitianga,89,NZ,1559845637,96,-36.83,175.7,52.0,1.01
278,Volnovakha,0,UA,1559845639,75,47.6,37.5,64.49,6.78
279,Vilyuysk,0,RU,1559845640,66,63.75,121.63,53.87,3.98
280,Kropotkin,8,RU,1559845641,49,45.43,40.58,70.79,16.53
281,Nizhniy Tsasuchey,96,RU,1559845642,70,50.52,115.13,51.35,7.94
282,Metairie,90,US,1559845643,94,29.99,-90.15,82.99,27.51
283,Comapa,100,MX,1559845644,51,19.16,-96.89,83.03,4.27
284,Auray,0,FR,1559845646,62,47.67,-2.99,61.0,5.82
285,Foki,49,RU,1559845647,70,56.69,54.35,56.21,12.35
286,Marystown,100,CA,1559845648,96,47.17,-55.16,48.29,7.27
287,Port Hardy,75,CA,1559845649,71,50.7,-127.42,51.8,5.82
288,Gat,0,SN,1559845650,61,14.69,-16.54,78.8,12.75
289,Balabac,78,PH,1559845652,77,7.99,117.06,84.65,16.33
290,Sai Buri,100,TH,1559845653,98,6.7,101.62,74.39,2.13
291,Changji,85,CN,1559845654,76,32.07,116.17,71.51,2.33
292,Anda,100,CN,1559845655,49,46.41,125.33,67.73,7.49
293,George,100,NG,1559845418,81,6.63,3.35,81.23,11.59
294,Coihaique,75,CL,1559845657,70,-45.58,-72.07,46.4,8.05
295,Sambava,10,MG,1559845659,98,-14.27,50.17,66.83,4.23
296,Shush,71,RU,1559845660,63,55.6,89.45,58.37,10.13
297,Seoul,90,KR,1559845545,106,37.57,126.98,66.2,1.12
298,Latung,82,ID,1559845662,92,-8.45,120.42,72.41,2.55
299,Broome,20,GB,1559845663,42,52.47,1.45,66.99,11.41
300,Hamilton,75,BM,1559845665,78,32.3,-64.78,77.0,12.75
301,Porto Nacional,20,BR,1559845666,29,-10.7,-48.41,91.4,9.17
302,Ayan,58,TR,1559845667,80,40.67,33.6,57.83,4.74
303,Porto Velho,75,BR,1559845668,70,-8.75,-63.87,87.8,4.7
304,Shiraz,40,IR,1559845390,12,29.61,52.54,86.0,9.17
305,Bilma,67,NE,1559845671,12,18.69,12.92,102.65,7.58
306,Saint George,40,GR,1559845672,50,39.45,22.34,77.0,9.17
307,Caravelas,38,BR,1559845493,58,-17.73,-39.27,78.17,10.47
308,Altamira,40,BR,1559845675,59,-3.2,-52.21,91.4,5.82
309,Weston,40,US,1559845676,47,41.2,-73.38,84.0,9.17
310,Omsukchan,46,RU,1559845678,81,62.53,155.8,39.47,5.64
311,Ostroda,0,PL,1559845679,69,53.7,19.96,77.0,4.7
312,Isabela,37,PH,1559845680,77,10.2,122.99,82.13,5.82
313,Minab,0,IR,1559845681,55,27.15,57.07,91.4,4.7
314,Chokurdakh,28,RU,1559845682,62,70.62,147.9,38.57,8.63
315,Mastic Beach,1,US,1559845684,51,40.77,-72.85,84.0,12.75
316,Dingle,32,PH,1559845685,84,11.0,122.67,77.81,7.4
317,Nizhnevartovsk,20,RU,1559845686,42,60.93,76.58,68.0,13.42
318,San Rafael,0,AR,1559845688,31,-34.61,-68.33,61.07,8.9
319,Kutum,33,SD,1559845689,29,14.2,24.66,87.53,13.73
320,Port-Gentil,75,GA,1559845690,78,-0.72,8.78,78.8,9.17
321,Leticia,75,CO,1559845691,100,-4.21,-69.94,78.8,3.36
322,Zeya,11,RU,1559845693,70,53.74,127.27,54.59,3.15
323,Tamale,4,GH,1559845694,29,9.4,-0.84,100.31,3.71
324,Salalah,20,OM,1559845695,74,17.01,54.1,87.8,4.7
325,Vila Franca do Campo,75,PT,1559845642,77,37.72,-25.43,64.4,10.29
326,Belle Fourche,40,US,1559845697,54,44.67,-103.85,82.99,13.87
327,Kukuna,75,SL,1559845699,70,8.64,-12.57,84.2,8.05
328,Sao Filipe,0,CV,1559845700,81,14.9,-24.5,74.57,19.19
329,Soskovo,0,RU,1559845701,81,52.75,35.39,64.13,6.11
330,Faanui,9,PF,1559845702,78,-16.48,-151.75,82.31,17.09
331,Conway,40,US,1559845546,74,33.84,-79.05,86.0,12.75
332,Calamar,35,CO,1559845705,77,1.96,-72.65,80.33,5.84
333,Bundaberg,99,AU,1559845706,77,-24.87,152.35,59.0,6.93
334,Qiongshan,0,CN,1559845707,83,20.01,110.35,82.4,6.71
335,Talas,0,TR,1559845708,25,38.69,35.55,77.0,10.29
336,Zhigansk,0,RU,1559845710,55,66.77,123.37,51.89,0.2
337,Victoria,75,BN,1559845711,94,5.28,115.24,80.01,8.55
338,Talnakh,40,RU,1559845712,93,69.49,88.39,37.4,17.9
339,Kushima,87,JP,1559845713,90,31.5,131.29,75.99,2.59
340,Shingu,100,JP,1559845715,94,33.72,135.99,60.71,3.65
341,State College,40,US,1559845573,50,40.79,-77.86,82.99,9.17
342,Wilmington,40,US,1559845531,57,39.75,-75.55,86.0,9.17
343,Taoudenni,0,ML,1559845718,7,22.68,-3.98,106.43,10.25
344,Esperance,75,TT,1559845719,58,10.24,-61.45,89.01,16.11
345,Magadi,40,IN,1559845721,88,12.96,77.22,84.99,5.82
346,Bogande,81,BF,1559845722,20,12.97,-0.14,104.63,4.85
347,Hope,1,CA,1559845723,54,49.38,-121.43,59.0,9.17
348,Rome,0,IT,1559845546,73,41.89,12.48,75.0,6.93
349,Staraya Kulatka,1,RU,1559845726,82,52.73,47.62,63.95,7.87
350,Birkeland,75,NO,1559845727,100,58.33,8.23,59.0,5.82
351,Nautla,100,MX,1559845728,66,20.22,-96.78,88.61,8.03
352,Horsham,3,AU,1559845730,93,-36.71,142.2,46.31,2.98
353,Plettenberg Bay,2,ZA,1559845731,65,-34.05,23.37,48.83,3.71
354,Puerto del Rosario,40,ES,1559845732,46,28.5,-13.86,73.4,21.92
355,Lorengau,100,PG,1559845733,90,-2.02,147.27,78.35,5.68
356,Minnedosa,75,CA,1559845734,40,50.25,-99.84,73.4,11.41
357,Katangli,11,RU,1559845736,93,51.71,143.23,38.21,2.57
358,Hambantota,20,LK,1559845737,100,6.12,81.12,80.6,5.82
359,Peleduy,80,RU,1559845738,85,59.63,112.75,53.33,0.92
360,Jalu,0,LY,1559845739,16,29.03,21.55,91.49,9.71
361,Fort Nelson,75,CA,1559845740,65,58.81,-122.69,46.4,10.29
362,Saint-Joseph,0,FR,1559845742,60,43.56,6.97,73.4,3.36
363,Najran,20,SA,1559845743,15,17.54,44.22,87.8,4.7
364,Sebinkarahisar,14,TR,1559845744,94,40.29,38.42,51.89,3.47
365,Kodino,18,RU,1559845745,52,63.72,39.64,62.15,7.67
366,Qurbus,20,TN,1559845747,69,36.82,10.57,73.4,5.82
367,La Vega,75,DO,1559845748,55,19.22,-70.53,93.99,6.93
368,Fukue,75,JP,1559845749,78,35.03,136.69,73.4,8.05
369,Chimbote,9,PE,1559845751,91,-9.08,-78.59,62.87,15.3
370,Mogadishu,2,SO,1559845472,81,2.04,45.34,78.89,12.26
371,Abapo,0,BO,1559845753,25,-18.83,-63.47,87.17,11.79
372,Langsa,100,ID,1559845578,93,4.47,97.97,70.07,2.91
373,Dwarka,20,IN,1559845755,45,28.58,77.04,87.8,9.17
374,Yerbogachen,0,RU,1559845756,94,61.28,108.01,50.09,1.32
375,Tazovskiy,56,RU,1559845758,92,67.47,78.7,38.75,8.9
376,Dhidhdhoo,100,MV,1559845759,78,6.88,73.1,83.93,12.35
